epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,19437.3,0.78326,0.42504,1.69797,0.97314,0.95343,0.98789,0.85672,1.11802,0.45055,1.75208,0.0086932,0.0086932,0.0086932
134,19578.4,0.77741,0.42669,1.68796,0.97522,0.95179,0.98893,0.86541,1.09761,0.44654,1.73675,0.0086833,0.0086833,0.0086833
135,19719.4,0.77782,0.4282,1.69207,0.97493,0.96177,0.98912,0.85917,1.11045,0.4423,1.74226,0.0086734,0.0086734,0.0086734
136,19861.2,0.77084,0.4333,1.6938,0.9849,0.93137,0.98591,0.86692,1.11728,0.47344,1.78079,0.0086635,0.0086635,0.0086635
137,20001.8,0.77269,0.42752,1.69825,0.97167,0.94516,0.98516,0.86745,1.10762,0.45851,1.76356,0.0086536,0.0086536,0.0086536
138,20143.7,0.7757,0.42513,1.69988,0.98269,0.93135,0.98857,0.87295,1.0809,0.46146,1.73106,0.0086437,0.0086437,0.0086437
139,20284.7,0.76617,0.42352,1.68676,0.98221,0.94393,0.9901,0.87493,1.09224,0.45117,1.73764,0.0086338,0.0086338,0.0086338
140,20425.1,0.75884,0.42239,1.68627,0.98198,0.9399,0.98602,0.87085,1.0957,0.45993,1.74122,0.0086239,0.0086239,0.0086239
141,20566.2,0.7746,0.43099,1.69439,0.98827,0.93679,0.98511,0.86909,1.11067,0.47673,1.73972,0.008614,0.008614,0.008614
142,20707.5,0.76621,0.43099,1.69334,0.99068,0.918,0.97921,0.86187,1.11589,0.5104,1.75036,0.0086041,0.0086041,0.0086041
143,20849.3,0.75995,0.42565,1.68998,0.97445,0.91892,0.98071,0.86372,1.11765,0.49508,1.74178,0.0085942,0.0085942,0.0085942
144,20991.2,0.76059,0.43096,1.6904,0.97041,0.92725,0.9836,0.86132,1.12047,0.47932,1.75844,0.0085843,0.0085843,0.0085843
145,21132.3,0.7594,0.42302,1.68828,0.98453,0.92722,0.98667,0.86375,1.11774,0.48031,1.75072,0.0085744,0.0085744,0.0085744
146,21276.6,0.75045,0.41711,1.68666,0.99068,0.93149,0.98793,0.86977,1.1088,0.45704,1.73095,0.0085645,0.0085645,0.0085645
147,21418.9,0.75986,0.42114,1.69238,0.98258,0.93392,0.98963,0.87171,1.10833,0.44694,1.74011,0.0085546,0.0085546,0.0085546
148,21562.3,0.75804,0.4152,1.68686,0.96261,0.97021,0.99055,0.87221,1.11911,0.44791,1.74429,0.0085447,0.0085447,0.0085447
149,21705.6,0.75244,0.4122,1.68154,0.98537,0.95121,0.99075,0.87049,1.1244,0.44666,1.75145,0.0085348,0.0085348,0.0085348
150,21847.6,0.75747,0.4159,1.68176,0.96762,0.96553,0.99166,0.86827,1.12452,0.45134,1.75396,0.0085249,0.0085249,0.0085249
151,21990,0.7483,0.4133,1.68074,0.97823,0.95471,0.99093,0.86712,1.11378,0.45332,1.75192,0.008515,0.008515,0.008515
152,22131.3,0.75503,0.41159,1.68585,0.98613,0.96094,0.99254,0.87045,1.10918,0.43741,1.75858,0.0085051,0.0085051,0.0085051
153,22274.8,0.75349,0.41223,1.68961,0.98319,0.96728,0.99254,0.87514,1.10233,0.44019,1.7492,0.0084952,0.0084952,0.0084952
154,22418.7,0.75959,0.41764,1.68859,0.97194,0.97466,0.99283,0.87577,1.09564,0.4303,1.73727,0.0084853,0.0084853,0.0084853
155,22561.6,0.74963,0.4094,1.67752,0.95694,0.98033,0.99274,0.87298,1.10679,0.43881,1.7511,0.0084754,0.0084754,0.0084754
156,22705,0.74856,0.41306,1.68427,0.96159,0.9788,0.99285,0.87235,1.10941,0.44305,1.75096,0.0084655,0.0084655,0.0084655
